State,Month,Region_Type,ANC_Registered,Adult_Death_TB,Adult_Suicide,C_Section,Child_Diarrhoea,Child_Malaria,Child_TB,Condoms_Distributed,Early_Breastfeeding,Immunization_MR,Infant_Death_Sepsis,Institutional_Delivery,Low_Birth_Weight,Maternal_Death_Bleeding,PW_Hypertension,Severe_Anaemia_Treated
A & N Islands,April,Rural,315.0,1.0,2.0,106.0,104.0,1.0,2.0,9316.0,267.0,262.0,0.0,307.0,47.0,0.0,37.0,13.0
A & N Islands,April,Urban,99.0,0.0,0.0,0.0,9.0,0.0,0.0,980.0,0.0,43.0,0.0,0.0,0.0,0.0,1.0,2.0
A & N Islands,August,Rural,282.0,3.0,4.0,66.0,170.0,7.0,0.0,11595.0,232.0,272.0,2.0,284.0,45.0,0.0,25.0,11.0
A & N Islands,August,Urban,81.0,0.0,0.0,0.0,30.0,0.0,0.0,343.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,2.0
A & N Islands,December,Rural,297.0,1.0,7.0,85.0,278.0,0.0,0.0,10614.0,232.0,192.0,1.0,305.0,44.0,0.0,15.0,16.0
A & N Islands,December,Urban,95.0,0.0,0.0,0.0,10.0,0.0,0.0,1713.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0
A & N Islands,February,Rural,322.0,1.0,7.0,81.0,116.0,7.0,1.0,11456.0,198.0,260.0,0.0,251.0,52.0,0.0,18.0,7.0
A & N Islands,February,Urban,90.0,0.0,0.0,0.0,16.0,0.0,0.0,1025.0,0.0,46.0,0.0,0.0,0.0,0.0,1.0,0.0
A & N Islands,January,Rural,316.0,1.0,7.0,83.0,131.0,0.0,0.0,14979.0,221.0,339.0,0.0,285.0,51.0,0.0,23.0,6.0
A & N Islands,January,Urban,76.0,0.0,0.0,0.0,30.0,0.0,0.0,1616.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,1.0
A & N Islands,July,Rural,354.0,4.0,4.0,70.0,224.0,2.0,0.0,12328.0,212.0,310.0,0.0,295.0,50.0,0.0,47.0,6.0
A & N Islands,July,Urban,79.0,0.0,0.0,0.0,20.0,0.0,0.0,1285.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0
A & N Islands,June,Rural,282.0,2.0,5.0,85.0,149.0,5.0,0.0,8335.0,292.0,242.0,1.0,307.0,56.0,0.0,36.0,11.0
A & N Islands,June,Urban,67.0,0.0,0.0,0.0,20.0,0.0,0.0,265.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0
A & N Islands,March,Rural,249.0,3.0,3.0,82.0,126.0,0.0,3.0,8561.0,244.0,184.0,0.0,290.0,41.0,0.0,24.0,5.0
A & N Islands,March,Urban,51.0,0.0,0.0,0.0,15.0,0.0,0.0,690.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
A & N Islands,May,Rural,370.0,3.0,11.0,95.0,114.0,1.0,0.0,8671.0,303.0,298.0,1.0,335.0,53.0,0.0,40.0,25.0
A & N Islands,May,Urban,82.0,0.0,0.0,0.0,0.0,0.0,0.0,1893.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,13.0
A & N Islands,November,Rural,343.0,1.0,5.0,95.0,104.0,0.0,0.0,12613.0,267.0,274.0,0.0,312.0,41.0,0.0,16.0,7.0
A & N Islands,November,Urban,97.0,0.0,0.0,0.0,10.0,0.0,0.0,687.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0
