Date,State,Region_Index,ANC_Registered,Adult_Death_TB,Adult_Suicide,C_Section,Child_Diarrhoea,Child_Malaria,Child_TB,Condoms_Distributed,Early_Breastfeeding,Immunization_MR,Infant_Death_Sepsis,Institutional_Delivery,Low_Birth_Weight,Maternal_Death_Bleeding,PW_Hypertension,Severe_Anaemia_Treated
01-01-2019,A & N Islands,0,10,0,0,3,5,0,0,363,8,8,0,10,2,0,1,0
01-01-2019,A & N Islands,1,3,0,0,0,0,0,0,36,0,2,0,0,0,0,0,0
01-01-2019,Andhra Pradesh,0,1747,6,8,223,96,2,2,60795,710,1708,3,663,63,0,29,19
01-01-2019,Andhra Pradesh,1,466,0,0,462,37,0,0,3360,1307,543,0,1337,29,0,10,8
01-01-2019,Arunachal Pradesh,0,77,0,0,10,21,1,0,241,48,51,0,48,3,0,2,1
01-01-2019,Arunachal Pradesh,1,3,0,0,0,1,0,0,2,0,3,0,0,0,0,0,0
01-01-2019,Assam,0,1675,1,3,241,262,3,1,13037,1373,1466,3,1303,208,0,54,27
01-01-2019,Assam,1,106,0,0,115,12,0,0,458,129,102,0,138,17,0,3,1
01-01-2019,Bihar,0,7898,0,0,128,189,2,4,27176,4824,6678,1,4831,518,0,74,63
01-01-2019,Bihar,1,1061,0,0,3,22,0,1,2885,372,924,0,282,29,0,7,7
01-01-2019,Chandigarh,0,45,1,0,22,13,0,0,181,46,3,0,55,15,0,4,0
01-01-2019,Chandigarh,1,53,0,0,3,15,0,0,3860,17,38,0,20,2,0,1,1
01-01-2019,Chhattisgarh,0,1428,1,7,104,297,43,2,11840,1069,1307,1,1056,139,0,33,37
01-01-2019,Chhattisgarh,1,263,0,0,89,31,0,0,859,195,242,0,207,13,0,5,4
01-01-2019,Dadra & Nagar Haveli,0,17,0,0,7,8,0,0,894,22,15,0,23,8,0,1,1
01-01-2019,Dadra & Nagar Haveli,1,5,0,0,2,0,0,0,1304,2,7,0,3,0,0,0,0
01-01-2019,Daman & Diu,0,12,0,0,3,3,0,0,308,8,9,0,9,2,0,0,0
01-01-2019,Daman & Diu,1,5,0,0,1,0,0,0,72,1,4,0,2,0,0,0,0
01-01-2019,Delhi,0,759,1,2,187,201,2,2,2497,457,94,2,610,143,0,46,32
01-01-2019,Delhi,1,1148,0,0,57,318,3,0,11791,121,702,0,140,24,0,11,8
01-01-2019,Goa,0,62,0,0,13,9,0,0,1009,30,45,0,38,8,0,3,1
01-01-2019,Goa,1,13,0,0,9,0,0,0,49,9,13,0,13,1,0,0,0
01-01-2019,Gujarat,0,2271,4,5,229,715,11,3,46021,1490,2147,5,1620,273,0,46,165
01-01-2019,Gujarat,1,1108,0,0,349,65,4,1,19512,1257,1024,0,1397,121,0,10,18
01-01-2019,Haryana,0,1146,3,5,101,76,0,1,35981,726,1016,1,758,125,0,24,69
01-01-2019,Haryana,1,376,0,0,158,26,0,0,9449,536,439,0,574,39,0,2,6
01-01-2019,Himachal Pradesh,0,300,1,1,53,45,0,0,10654,217,267,0,228,32,0,6,2
01-01-2019,Himachal Pradesh,1,1,0,0,0,0,0,0,58,0,2,0,0,0,0,0,0
01-01-2019,Jammu & Kashmir,0,810,0,0,179,143,0,0,7319,446,579,2,465,25,0,24,87
01-01-2019,Jammu & Kashmir,1,162,0,0,39,4,0,0,508,43,59,0,46,3,0,4,1
01-01-2019,Jharkhand,0,2483,0,1,132,66,16,1,21898,1839,1922,1,1893,125,0,30,28
01-01-2019,Jharkhand,1,187,0,0,22,3,1,0,555,80,158,0,83,6,0,2,1
01-01-2019,Karnataka,0,2357,4,15,386,539,3,4,36434,1306,2109,3,1469,178,0,90,70
01-01-2019,Karnataka,1,748,0,1,400,106,2,1,8668,920,766,0,1038,63,0,39,18
01-01-2019,Kerala,0,1172,0,1,391,173,0,0,4179,980,1077,0,1030,124,0,40,5
01-01-2019,Kerala,1,189,0,0,93,24,0,0,801,195,121,0,206,20,0,7,1
01-01-2019,Lakshadweep,0,4,0,0,1,4,0,0,76,2,3,0,2,0,0,0,0
01-01-2019,Madhya Pradesh,0,4198,5,12,208,640,17,8,58020,2810,3869,5,2770,461,1,90,117
01-01-2019,Madhya Pradesh,1,874,0,0,205,75,21,1,9667,727,631,0,821,116,0,29,46
01-01-2019,Maharashtra,0,3387,6,16,976,141,3,4,27916,3935,3321,4,4087,489,0,80,162
01-01-2019,Maharashtra,1,1943,2,0,185,107,2,1,18071,681,1850,0,739,104,0,28,51
01-01-2019,Manipur,0,141,0,0,21,28,0,0,361,79,100,0,75,3,0,1,0
01-01-2019,Manipur,1,9,0,0,8,1,0,0,19,13,8,0,13,1,0,0,0
01-01-2019,Meghalaya,0,348,1,0,22,180,1,1,822,210,168,0,144,18,0,11,9
01-01-2019,Meghalaya,1,12,0,0,0,6,0,0,63,0,10,0,0,0,0,0,0
01-01-2019,Mizoram,0,45,0,0,7,26,2,0,256,44,32,0,42,2,0,2,0
01-01-2019,Mizoram,1,19,0,0,3,2,0,0,112,7,16,0,8,0,0,0,0
01-01-2019,Nagaland,0,83,0,0,4,10,0,0,187,39,42,0,39,2,0,1,0
01-01-2019,Nagaland,1,26,0,0,4,2,0,0,113,5,7,0,8,1,0,0,0
01-01-2019,Odisha,0,1779,2,3,391,459,38,1,22108,1584,1633,3,1707,301,0,29,31
01-01-2019,Odisha,1,139,0,0,8,13,0,0,1417,27,142,0,29,5,0,2,2
01-01-2019,Puducherry,0,71,0,0,15,19,0,0,1156,33,16,0,34,5,0,2,0
01-01-2019,Puducherry,1,203,0,0,22,7,0,0,1642,49,25,0,78,12,0,5,4
01-01-2019,Punjab,0,894,3,4,241,80,0,1,47829,593,776,0,702,62,0,17,19
